offset,day,method,hold,cost,tickers,exposure,return_pct
0,2018-07-02,momentum,1,0.2,ENPH CRSP SEDG XYZ OKTA,0.5,-0.6478538057952621
0,2018-08-01,momentum,1,0.2,ENPH CRSP XYZ OKTA NFLX,0.5,2.3501967036146043
0,2018-08-30,momentum,1,0.2,XYZ CRSP RUN OKTA NFLX,0.5,0.6272984217124078
0,2018-10-01,momentum,1,0.2,XYZ FTNT OKTA AMZN NFLX,0.5,-1.0239303218752327
0,2018-10-30,momentum,1,0.2,,0.0,0.0
0,2018-11-29,momentum,1,0.2,,0.0,0.0
0,2019-01-02,momentum,1,0.2,,0.0,0.0
0,2019-02-01,momentum,1,0.2,,0.0,0.0
0,2019-03-05,momentum,1,0.2,MDB OKTA AMD RUN LLY,0.5,-1.4136620990301108
0,2019-04-03,momentum,1,0.2,AMD MDB ZS OKTA IRDM,0.5,-1.6944673726617787
0,2019-05-03,momentum,1,0.2,MDB AMD ZS IRDM ENPH,0.5,1.8492592720016576
0,2019-06-04,momentum,1,0.2,MDB ENPH ZS AMD OKTA,0.5,0.5808625838729098
0,2019-07-03,momentum,1,0.2,MDB ENPH OKTA KTOS AMD,0.5,0.9293673691924242
0,2019-08-02,momentum,1,0.2,ENPH MDB OKTA ZS KTOS,0.5,-1.0512494701497732
0,2019-09-03,momentum,1,0.2,ENPH OKTA MDB ZS SBUX,0.5,0.7263889280560543
0,2019-10-02,momentum,1,0.2,ENPH SEDG OKTA SBUX KLAC,0.5,1.0865527530345531
0,2019-10-31,momentum,1,0.2,ENPH SEDG OKTA KLAC TER,0.5,-0.2482695641244037
0,2019-12-02,momentum,1,0.2,ENPH SEDG LRCX KLAC OKTA,0.5,1.7854335888810136
0,2020-01-02,momentum,1,0.2,ENPH CRSP SEDG AMD TER,0.5,0.6049412541599519
0,2020-02-03,momentum,1,0.2,ENPH SEDG AMD TER CRSP,0.5,1.5299979302100475
0,2020-03-04,momentum,1,0.2,ENPH TSLA SEDG AMD LRCX,0.5,1.1081080365107798
0,2020-04-02,momentum,1,0.2,,0.0,0.0
0,2020-05-04,momentum,1,0.2,ENPH TSLA SEDG AMD REGN,0.5,-1.2188215169865013
0,2020-06-03,momentum,1,0.2,TSLA ENPH MRNA NVDA SEDG,0.5,-1.265734574003785
0,2020-07-02,momentum,1,0.2,MRNA TSLA ENPH SEDG NVDA,0.5,1.133258935233994
0,2020-08-03,momentum,1,0.2,TSLA MRNA NVDA SEDG REGN,0.5,0.3931518317932703
0,2020-09-01,momentum,1,0.2,TSLA MRNA RUN NVDA AMD,0.5,-1.417477719003879
0,2020-10-01,momentum,1,0.2,TSLA MRNA RUN ENPH ZS,0.5,0.3545141359501791
0,2020-10-30,momentum,1,0.2,TSLA RUN ENPH MRNA ZS,0.5,0.4798447518518323
0,2020-12-01,momentum,1,0.2,TSLA ENPH RUN MRNA TWST,0.5,0.533779158674963
0,2020-12-31,momentum,1,0.2,MRNA TSLA TWST RUN ENPH,0.5,-0.4066458073842649
0,2021-02-02,momentum,1,0.2,TWST PACB ENPH MRNA TSLA,0.5,-0.45934038717804215
0,2021-03-04,momentum,1,0.2,PACB TWST TSLA MRNA MSTR,0.5,-1.293613561753948
0,2021-04-05,momentum,1,0.2,PACB TSLA MSTR FCX ENPH,0.5,-0.022519233108408976
0,2021-05-04,momentum,1,0.2,PACB MSTR NTLA BEAM TSLA,0.5,-0.9740947786289977
0,2021-06-03,momentum,1,0.2,PACB MSTR FCX UUUU NTLA,0.5,0.0846481363702134
0,2021-07-02,momentum,1,0.2,PACB UUUU MSTR FCX MRNA,0.5,-1.1939657469415166
0,2021-08-03,momentum,1,0.2,PACB NTLA BEAM MSTR MP,0.5,1.957975674470025
0,2021-09-01,momentum,1,0.2,NTLA MRNA PACB MSTR BEAM,0.5,0.061407864483475905
0,2021-10-01,momentum,1,0.2,NTLA MRNA UUUU NET ALB,0.5,-0.1021008322599215
0,2021-11-01,momentum,1,0.2,NTLA MRNA UUUU MSTR UEC,0.5,0.9796843760340401
0,2021-12-01,momentum,1,0.2,UUUU UEC NET FTNT CCJ,0.5,1.386947787203141
0,2021-12-31,momentum,1,0.2,NVDA F NET FTNT UEC,0.5,-0.5434967321873541
0,2022-02-01,momentum,1,0.2,FTNT NUE NVDA F EOG,0.5,0.17239259611472324
0,2022-03-03,momentum,1,0.2,,0.0,0.0
0,2022-04-01,momentum,1,0.2,,0.0,0.0
0,2022-05-03,momentum,1,0.2,,0.0,0.0
0,2022-06-02,momentum,1,0.2,,0.0,0.0
0,2022-07-05,momentum,1,0.2,,0.0,0.0
0,2022-08-03,momentum,1,0.2,,0.0,0.0
0,2022-09-01,momentum,1,0.2,,0.0,0.0
0,2022-10-03,momentum,1,0.2,,0.0,0.0
0,2022-11-01,momentum,1,0.2,,0.0,0.0
0,2022-12-01,momentum,1,0.2,,0.0,0.0
0,2023-01-03,momentum,1,0.2,,0.0,0.0
0,2023-02-02,momentum,1,0.2,FSLR CEG MPC IRDM LLY,0.5,-0.14538035110897018
0,2023-03-06,momentum,1,0.2,FSLR CEG VLO MPC ALB,0.5,-0.6325732967197295
0,2023-04-04,momentum,1,0.2,FSLR MPC IRDM VLO XOM,0.5,0.8393887296335167
0,2023-05-04,momentum,1,0.2,FSLR NFLX IRDM PACB ANET,0.5,0.3695587137654943
0,2023-06-05,momentum,1,0.2,FSLR PACB IRDM BIIB NFLX,0.5,0.03845473638144359
0,2023-07-06,momentum,1,0.2,FSLR NVDA PACB SYM VRT,0.5,0.06438326284565754
0,2023-08-04,momentum,1,0.2,SYM PACB IONQ NVDA VRT,0.5,-1.31495520272209
0,2023-09-05,momentum,1,0.2,SYM NVDA VRT IONQ PLTR,0.5,-0.2832584092540724
0,2023-10-04,momentum,1,0.2,NVDA IONQ VRT SYM META,0.5,0.4184972275041998
0,2023-11-02,momentum,1,0.2,NVDA META SYM IONQ VRT,0.5,-0.0688228257016199
0,2023-12-04,momentum,1,0.2,SYM VRT META NVDA PLTR,0.5,-0.011235240020213144
0,2024-01-04,momentum,1,0.2,SYM COIN IONQ MSTR VRT,0.5,-0.5271207454796922
0,2024-02-05,momentum,1,0.2,VRT SYM MSTR NVDA CRWD,0.5,-1.5715374332150978
0,2024-03-06,momentum,1,0.2,VRT NVDA META CRWD DELL,0.5,0.4066787868065802
0,2024-04-05,momentum,1,0.2,VRT MSTR COIN NVDA PLTR,0.5,-0.8512738491101457
0,2024-05-06,momentum,1,0.2,VRT COIN MSTR VST NVDA,0.5,-1.1159128317827727
0,2024-06-05,momentum,1,0.2,VRT MSTR COIN VST DELL,0.5,-1.6143451781605478
0,2024-07-08,momentum,1,0.2,MSTR VRT VST COIN NVDA,0.5,-0.35401522216016446
0,2024-08-06,momentum,1,0.2,MSTR VST NVDA ASTS COIN,0.5,-3.3638540051149968
0,2024-09-05,momentum,1,0.2,ASTS MSTR VST NVDA TWST,0.5,-3.2610160459584536
0,2024-10-04,momentum,1,0.2,ASTS MSTR VST NVDA TWST,0.5,-0.5273673586467797
0,2024-11-04,momentum,1,0.2,ASTS VST MSTR SMR NVDA,0.5,0.47660989132565224
0,2024-12-04,momentum,1,0.2,SMR ASTS MSTR VST NVDA,0.5,-1.3703264063507081
0,2025-01-06,momentum,1,0.2,SMR MSTR LUNR ASTS PLTR,0.5,-3.6659828646381287
0,2025-02-06,momentum,1,0.2,RGTI QBTS ASTS SMR MSTR,0.5,-0.7598830591371675
0,2025-03-10,momentum,1,0.2,,0.0,0.0
0,2025-04-08,momentum,1,0.2,,0.0,0.0
0,2025-05-08,momentum,1,0.2,,0.0,0.0
0,2025-06-09,momentum,1,0.2,RGTI QBTS RKLB PLTR IONQ,0.5,-1.8414565964465668
0,2025-07-10,momentum,1,0.2,QBTS RGTI OKLO RKLB IONQ,0.5,-1.7246710461318204
0,2025-08-08,momentum,1,0.2,QBTS RGTI RKLB OKLO IONQ,0.5,0.9473379569829854
0,2025-09-09,momentum,1,0.2,RGTI QBTS OKLO RKLB PLTR,0.5,-0.7818871651580017
0,2025-10-08,momentum,1,0.2,RGTI QBTS OKLO HOOD RKLB,0.5,1.114939261782255
0,2025-11-06,momentum,1,0.2,RGTI QBTS PL OKLO HOOD,0.5,3.3131880786996026
0,2025-12-08,momentum,1,0.2,RGTI QBTS OKLO LEU QS,0.5,0.5641180118851619
0,2026-01-08,momentum,1,0.2,OKLO LEU HOOD ASTS MP,0.5,-0.16280009504024973
0,2026-02-09,momentum,1,0.2,UUUU PL LEU MU ASTS,0.5,-1.9064911183090727
0,2026-03-11,momentum,1,0.2,PL UUUU RKLB MU UEC,0.5,-0.8872930172320714
0,2026-04-10,momentum,1,0.2,PL MU UUUU TER ASTS,0.5,1.5592724277889713
0,2026-05-11,momentum,1,0.2,PL MU TER UUUU ASTS,0.5,-0.32531717280244177
0,2026-06-10,momentum,1,0.2,MU PL TER RKLB AMD,0.5,3.739113556363427
0,2026-07-13,momentum,1,0.2,MU PL TER LRCX AMD,0.5,-1.2499512895274179
0,2016-06-30,qqq,1,0.2,QQQ,0.5,0.17399754168603287
0,2016-08-01,qqq,1,0.2,QQQ,0.5,-0.40619408974192917
0,2016-08-30,qqq,1,0.2,QQQ,0.5,-0.0741717535707953
0,2016-09-29,qqq,1,0.2,QQQ,0.5,0.14083660215171712
0,2016-10-28,qqq,1,0.2,QQQ,0.5,-0.3291700727651614
0,2016-11-29,qqq,1,0.2,QQQ,0.5,-0.7661271428199945
0,2016-12-29,qqq,1,0.2,QQQ,0.5,-0.7073212995522327
0,2017-01-31,qqq,1,0.2,QQQ,0.5,-0.10785414143819061
0,2017-03-02,qqq,1,0.2,QQQ,0.5,0.02610130823539336
0,2017-03-31,qqq,1,0.2,QQQ,0.5,-0.17146127745565343
0,2017-05-02,qqq,1,0.2,QQQ,0.5,-0.14720534680593422
0,2017-06-01,qqq,1,0.2,QQQ,0.5,0.2927416809645811
0,2017-06-30,qqq,1,0.2,QQQ,0.5,-0.8505495246118877
0,2017-08-01,qqq,1,0.2,QQQ,0.5,-0.2863938317436032
0,2017-08-30,qqq,1,0.2,QQQ,0.5,0.2922554521950671
0,2017-09-29,qqq,1,0.2,QQQ,0.5,-0.13072886565717035
0,2017-10-30,qqq,1,0.2,QQQ,0.5,-0.07365338618612327
0,2017-11-29,qqq,1,0.2,QQQ,0.5,0.10679224761691586
0,2017-12-29,qqq,1,0.2,QQQ,0.5,0.5152480237896828
0,2018-01-31,qqq,1,0.2,QQQ,0.5,-0.14145859648401204
0,2018-03-02,qqq,1,0.2,QQQ,0.5,0.6914443270259474
0,2018-04-03,qqq,1,0.2,QQQ,0.5,1.686176689520913
0,2018-05-02,qqq,1,0.2,QQQ,0.5,0.14805165291418287
0,2018-06-01,qqq,1,0.2,QQQ,0.5,0.22281979855265366
0,2018-07-02,qqq,1,0.2,QQQ,0.5,-0.8622809733265901
